url,headline,datetime,fact_check_details,organization,caa
https://factcheck.afp.com//indian-health-authorities-dismiss-hoax-report-novel-coronavirus-case-east-indian-state,Indian health authorities dismiss hoax report of novel coronavirus case in east Indian state,2/17/20,"A post has been shared multiple times on Facebook that claims a doctor in Purnea, a district in the east Indian state of Bihar, has identified a novel coronavirus patient. This claim is false; the local health authority said that there are no confirmed novel coronavirus patients in the area as of February 14, 2020. The doctor named in the misleading Facebook post also called the claim “baseless and false.""",AFP,No
https://factcheck.afp.com//video-shows-workmen-uncovering-bat-infested-roof-us-state-florida-2011,This video shows workmen uncovering a bat-infested roof in the US state of Florida in 2011,2/7/20,A video showing scores of bats nesting under tiles of a roof has been viewed tens of thousands of times in multiple posts on Facebook that it shows the cause of the 2019 novel coronavirus outbreak in China. The claim is false; the video has circulated online since at least July 2011 and actually shows repairs being made to the roof of a bat-infested house in the city of Miami in the United States.,AFP,No
https://factcheck.afp.com//2015-reuters-photo-traffic-beijing,This is a 2015 Reuters photo of traffic in Beijing,1/23/20,"An image has been shared hundreds of times in Facebook posts that claim that it shows a massive traffic jam in southern India after a regional harvest festival. The claim is false; the photo was actually taken in 2015 by the Reuters news agency and shows a giant tailback on an expressway in Beijing, China. ",AFP,No
https://factcheck.afp.com//1998-associated-press-video-us-british-attack-iraq,This is a 1998 Associated Press video of a US-British attack on Iraq,1/13/20,"A video has been viewed hundreds of thousands of times in Facebook and YouTube posts which claim it shows a US attack on the Iranian capital on January 8, 2020. The claim is false; the video was actually published by the Associated Press news agency in December 1998 and shows a joint US-British military offensive in Iraq.",AFP,No
https://factcheck.afp.com//footage-has-been-taken-video-game,This footage has been taken from a video game,1/9/20,"A video has been viewed thousands of times in Facebook and Twitter posts that claim it is aerial footage of a US drone strike killing a top Iranian military commander General Qassem Soleimani ""in Iran"". The claim is false; the footage is actually from a military simulation video game; Soleimani was killed on January 3, 2020 by a US strike in Baghdad, Iraq.",AFP,No
https://factcheck.afp.com//photo-shah-rukh-khan-london-2012-police-deny-khan-was-ever-arrested,This is a photo of Shah Rukh Khan in London in 2012 -- police deny Khan was ever arrested,1/7/20,"A photo of Indian actor Shah Rukh Khan has been shared hundreds of times in multiple Facebook and Twitter posts that claim that it shows the Bollywood star being arrested at London’s Heathrow Airport on December 28, 2019 after attempting to protest in the UK against  India's new citizenship law. The claim is false; the photo has actually circulated online since 2012 in reports about Khan visiting the BBC office in London for an interview; London’s Metropolitan Police said that they had not arrested Khan. ",AFP,No
https://factcheck.afp.com//old-photo-was-taken-during-march-2011-protest-northern-indian-city-lucknow,This old photo was taken during a March 2011 protest in the northern Indian city of Lucknow,12/27/19,A photo has been shared hundreds of times in multiple Facebook and Twitter posts alongside a claim that it shows an Indian police officer stomping on the head of a student protester from New Delhi’s Jamia Millia Islamia university. The claim is false; the photo was taken during a protest in the northern Indian city of Lucknow in March 2011. ,AFP,Yes
https://factcheck.afp.com//video-shows-funeral-indian-army-soldier-was-held-day-hyderabad-attack,This video shows the funeral of an Indian army soldier that was held a day before the Hyderabad attack,12/12/19,"A video has been viewed more than a million times in Facebook, Twitter and YouTube posts that claim the footage shows the funeral of a 27-year-old veterinary doctor who was gang raped and killed on November 27, 2019 in Hyderabad, a major city in southern India. The claim is false; the video actually shows the funeral of an Indian army soldier in a village in west India which was held on November 26, a day before the attack in Hyderabad.",AFP,No
https://factcheck.afp.com//video-shows-police-different-state-hitting-suspect-unrelated-rape-case,This video shows police in a different state hitting a suspect in an unrelated rape case,12/11/19,A video has been viewed tens of thousands of times in multiple Facebook posts that claim it shows police beating a suspect in a high profile rape and murder case that happened in Hyderabad on November 27. The claim is false; the video actually shows police in the neighboring state of Andhra Pradesh hitting a man accused of rape; the footage had circulated online prior to the Hyderabad attack.,AFP,No
,,,,,
,,,,,
,,,,,
,,,,,
